name,id,frequent_build,winning_build
Annie, 1, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u"Rylai's Crystal Scepter"; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u'Sightstone'; u'Guardian Angel'; u'Talisman of Ascension'; u"Rabadon's Deathcap"; u'Ionian Boots of Lucidity'; u"Athene's Unholy Grail"; u'Warding Totem (Trinket)']
Olaf, 2, [u'Ninja Tabi'; u'Spirit Visage'; u'Frozen Heart'; u'Mercurial Scimitar'; u"Youmuu's Ghostblade"; u'Blade of the Ruined King'; u'Sweeping Lens (Trinket)'], [u'Ninja Tabi'; u'Spirit Visage'; u'Thornmail'; u'Frozen Heart'; u"Randuin's Omen"; u'Warding Totem (Trinket)'; u'Righteous Glory']
Galio, 3, [u'Sightstone'; u'Spirit Visage'; u"Nomad's Medallion"; u"Mercury's Treads"; u"Athene's Unholy Grail"; u"Spectre's Cowl"; u'Sweeping Lens (Trinket)'], [u'Sightstone'; u'Spirit Visage'; u"Nomad's Medallion"; u"Mercury's Treads"; u"Athene's Unholy Grail"; u"Spectre's Cowl"; u'Sweeping Lens (Trinket)']
TwistedFate, 4, [u'Needlessly Large Rod'; u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Lich Bane'; u'Void Staff'; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u'Needlessly Large Rod'; u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Lich Bane'; u'Void Staff'; u"Luden's Echo"; u'Warding Totem (Trinket)']
XinZhao, 5, [u'The Black Cleaver'; u'Boots of Mobility'; u"Youmuu's Ghostblade"; u'Blade of the Ruined King'; u'Zephyr'; u"Spectre's Cowl"; u'Warding Totem (Trinket)'], [u'Spirit Visage'; u'The Black Cleaver'; u"Mercury's Treads"; u"Youmuu's Ghostblade"; u"Randuin's Omen"; u'Locket of the Iron Solari'; u"Oracle's Lens (Trinket)"]
Urgot, 6, [u'Glacial Shroud'; u'Last Whisper'; u'Muramana'; u'Sheen'; u'The Black Cleaver'; u"Mercury's Treads"; u'Warding Totem (Trinket)'], [u'Glacial Shroud'; u'Last Whisper'; u'Muramana'; u'Sheen'; u'The Black Cleaver'; u"Mercury's Treads"; u'Warding Totem (Trinket)']
Leblanc, 7, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Morellonomicon'; u"Luden's Echo"; u"Oracle's Lens (Trinket)"], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Morellonomicon'; u"Luden's Echo"; u"Oracle's Lens (Trinket)"]
Vladimir, 8, [u'Abyssal Scepter'; u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u'Will of the Ancients'; u"Zhonya's Hourglass"; u'Farsight Orb (Trinket)'], [u'Abyssal Scepter'; u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u'Will of the Ancients'; u"Zhonya's Hourglass"; u'Farsight Orb (Trinket)']
Kayle, 10, [u'Vision Ward'; u"Berserker's Greaves"; u'Infinity Edge'; u"Nashor's Tooth"; u"Youmuu's Ghostblade"; u'Zephyr'; u'Greater Stealth Totem (Trinket)'], []
MasterYi, 11, [u'Frozen Mallet'; u'Guardian Angel'; u"Youmuu's Ghostblade"; u'Blade of the Ruined King'; u'Zephyr'; u'Greater Vision Totem (Trinket)'; u"Devourer - Stalker's Blade"], [u'Frozen Mallet'; u'Guardian Angel'; u"Youmuu's Ghostblade"; u'Blade of the Ruined King'; u'Zephyr'; u'Greater Vision Totem (Trinket)'; u"Devourer - Stalker's Blade"]
