name,id,frequent_build,winning_build
AP Annie, 1, [u"Sorcerer's Shoes"; u'Rod of Ages'; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u'Rod of Ages'; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)']
AP Olaf, 2, [u'Boots of Speed'; u'Long Sword'; u'B. F. Sword'; u'Crystalline Flask'; u'Trinity Force'; u'Bilgewater Cutlass'; u'Warding Totem (Trinket)'], [u'Boots of Speed'; u'Long Sword'; u'B. F. Sword'; u'Crystalline Flask'; u'Trinity Force'; u'Bilgewater Cutlass'; u'Warding Totem (Trinket)']
AP Galio, 3, [u'Amplifying Tome'; u"Doran's Ring"; u'Needlessly Large Rod'; u'Abyssal Scepter'; u"Mercury's Treads"; u"Athene's Unholy Grail"; u'Warding Totem (Trinket)'], [u'Amplifying Tome'; u"Doran's Ring"; u'Needlessly Large Rod'; u'Abyssal Scepter'; u"Mercury's Treads"; u"Athene's Unholy Grail"; u'Warding Totem (Trinket)']
AP TwistedFate, 4, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Lich Bane'; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Lich Bane'; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)']
AP XinZhao, 5, [u'Lich Bane'; u"Nashor's Tooth"; u'Boots of Mobility'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)'; u'Enchantment: Sated Devourer'], [u"Rabadon's Deathcap"; u'Aether Wisp'; u"Nashor's Tooth"; u"Zhonya's Hourglass"; u'Ionian Boots of Lucidity'; u"Oracle's Lens (Trinket)"; u'Enchantment: Sated Devourer']
AP Urgot, 6, [u'Ruby Crystal'; u'Long Sword'; u"Doran's Blade"; u'Ninja Tabi'; u'Trinity Force'; u'Frozen Heart'; u'Warding Totem (Trinket)'], [u'Ruby Crystal'; u'Long Sword'; u"Doran's Blade"; u'Ninja Tabi'; u'Trinity Force'; u'Frozen Heart'; u'Warding Totem (Trinket)']
AP Leblanc, 7, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Morellonomicon'; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Morellonomicon'; u"Luden's Echo"; u'Warding Totem (Trinket)']
AP Vladimir, 8, [u'Blasting Wand'; u'Amplifying Tome'; u'Needlessly Large Rod'; u"Sorcerer's Shoes"; u'Will of the Ancients'; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)'], [u'Blasting Wand'; u'Amplifying Tome'; u'Needlessly Large Rod'; u"Sorcerer's Shoes"; u'Will of the Ancients'; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)']
AP FiddleSticks, 9, [u'Blasting Wand'; u'Amplifying Tome'; u'Needlessly Large Rod'; u"Sorcerer's Shoes"; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)'; u'Enchantment: Runeglaive'], [u'Blasting Wand'; u'Amplifying Tome'; u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)'; u'Enchantment: Runeglaive']
AP Kayle, 10, [u'Blasting Wand'; u'Amplifying Tome'; u"Doran's Ring"; u'Needlessly Large Rod'; u"Sorcerer's Shoes"; u"Nashor's Tooth"; u'Warding Totem (Trinket)'], [u"Berserker's Greaves"; u"Runaan's Hurricane (Ranged Only)"; u"Rabadon's Deathcap"; u"Nashor's Tooth"; u'Void Staff'; u'Warding Totem (Trinket)'; u'Enchantment: Sated Devourer']
