Champion Name, Champion Key, Most Frequent Build, Most Frequent Winning Build
Annie, 1, [u"Sorcerer's Shoes"; u'Rod of Ages'; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u'Rod of Ages'; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)']
Olaf, 2, [u'Ninja Tabi'; u'Spirit Visage'; u'Sunfire Cape'; u'Ravenous Hydra (Melee Only)'; u"Randuin's Omen"; u'Blade of the Ruined King'; u'Warding Totem (Trinket)'], [u'Spirit Visage'; u'Ravenous Hydra (Melee Only)'; u'Thornmail'; u"Mercury's Treads"; u"Randuin's Omen"; u'Blade of the Ruined King'; u'Greater Stealth Totem (Trinket)']
Galio, 3, [u'Abyssal Scepter'; u'Spirit Visage'; u'Thornmail'; u"Mercury's Treads"; u"Athene's Unholy Grail"; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u'Abyssal Scepter'; u'Spirit Visage'; u"Rabadon's Deathcap"; u"Mercury's Treads"; u"Zhonya's Hourglass"; u"Athene's Unholy Grail"; u'Warding Totem (Trinket)']
TwistedFate, 4, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Lich Bane'; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Lich Bane'; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)']
XinZhao, 5, [u'Phage'; u'Kindlegem'; u'Sunfire Cape'; u'Boots of Mobility'; u'Blade of the Ruined King'; u'Warding Totem (Trinket)'; u'Enchantment: Warrior'], [u'Spirit Visage'; u'Sunfire Cape'; u'The Black Cleaver'; u'Boots of Mobility'; u'Blade of the Ruined King'; u'Warding Totem (Trinket)'; u'Enchantment: Warrior']
Urgot, 6, [u'Last Whisper'; u'Muramana'; u'Ninja Tabi'; u'The Black Cleaver'; u'Frozen Heart'; u"Youmuu's Ghostblade"; u'Warding Totem (Trinket)'], [u'Last Whisper'; u'Muramana'; u'Ninja Tabi'; u'The Black Cleaver'; u'Frozen Heart'; u"Youmuu's Ghostblade"; u'Warding Totem (Trinket)']
Leblanc, 7, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Morellonomicon'; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Morellonomicon'; u"Luden's Echo"; u'Warding Totem (Trinket)']
Vladimir, 8, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u'Will of the Ancients'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u'Will of the Ancients'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Warding Totem (Trinket)']
FiddleSticks, 9, [u'Blasting Wand'; u'Amplifying Tome'; u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)'; u'Enchantment: Magus'], [u'Blasting Wand'; u'Amplifying Tome'; u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)'; u'Enchantment: Magus']
Kayle, 10, [u"Doran's Ring"; u"Sorcerer's Shoes"; u"Runaan's Hurricane (Ranged Only)"; u"Rabadon's Deathcap"; u"Nashor's Tooth"; u"Zhonya's Hourglass"; u'Warding Totem (Trinket)'], [u"Doran's Ring"; u"Sorcerer's Shoes"; u"Runaan's Hurricane (Ranged Only)"; u"Rabadon's Deathcap"; u'Lich Bane'; u"Nashor's Tooth"; u'Warding Totem (Trinket)']
